definition,word,author,tags,up,down,date
to unexpectedly exceed the expectations of one's peers in a public setting,get your shine on,Paden I,"[u'#mind-blowing', u'#tight', u'#pimp', u'#diamond in the rough', u'#baller']",212,101,"January 23, 2006"
a person with a newly-developed appreciation for a sports team; generally acquired after said team has won a championship or become otherwise popular.,fansplant,C.D. Di Guardia,"[u'#fake fan', u'#bandwagon rider', u'#jimmy fallon', u'#barney', u'#bandwagon jumper']",101,61,"January 10, 2006"
"In football, it's the crowd. When the away team is backed up near the goal post, the 12th man makes a lot of noise, making it hard to communicate and for the lineman to hear the snap count.",12th man,bihgangsta,"[u'#nfl', u'#football', u'#jerry rice', u'#seahawks', u'#raiders']",278,357,"January 14, 2006"
The fine art of bludgeoning an electronic device in order to encourage it to work properly. Vigorous usage of this technique often renders said device permanently nonfunctional.,Percussive Maintenance,naz_ghul,[],450,73,"March 14, 2003"
"To have something taken from you by smooth talking or strong convincing.  Not as violent or non-participatory as being High-jacked, being lowjacked involves ones own insecure or gullible nature.",lowjack,bling bling,[],209,114,"March 07, 2005"
Someone who joins the gym in January as part of a New Year's resolution and by February is back to being a couch potato.,January Joiner,Brent Michael,"[u'#new years resolution', u'#jaunary joiner', u'#gym bunny', u'#exercise', u'#couch potato']",617,94,"January 15, 2006"
"Fragment often used by girls to thwart further activity; please stop; that ain't right, don't do that, because I don't like it. Can be found as: Can you not?!, Can you not..., Can you.. not?",can you not,881,"[u'#please', u'#stop', u'#can', u'#you', u'#not']",635,162,"December 25, 2005"
"The old fashioned journal you wrote in with crushed tree pulp, binding, and maybe some kind of lock mechanism. For some reason people used to like writing opinions only they read. It is a fad past its prime but Borders still sells them for some reason. ",anablog,Clintacus,"[u'#analog', u'#blog', u'#blogger', u'#journal', u'#online']",377,135,"January 15, 2006"
For the ass is a phrase that means that something is completly useless.,for the ass,Santacruzshores,"[u'#useless', u'#feckless', u'#senseless', u'#without a reason', u'#pointless']",67,199,"January 07, 2006"
"A highly expensive car or motorcycle, that's been left to sit in the driveway, unused. Much like a flashy diamond ring or gold necklace, it's sole purpose is that of demonstrating wealth, to those who see it. ",driveway jewelery,D. Gould,"[u'#bling', u'#ice', u'#flash', u'#toy', u'#disco']",206,72,"January 13, 2006"
"Head Motha Fucka In Charge. The boss; someone not to be reckoned with. Used to denote, usually in jest, that a person is in charge of a situation.",hmfic,The HMFIC,"[u'#chief', u'#boss', u'#coach', u'#leader', u'#bamf']",534,131,"January 04, 2006"
"Imaginary mode of transport,associated with heavy drinking,when drinker has no recollection of how they arrived back at their preferred destination.",beer taxi,Dr Lokoss,[],662,71,"July 05, 2004"
"A girl who is exclusively after a free meal or an expensive gift.  She actively seeks out dates with well-off men who will wine and dine her at upscale restaurants.  She is usually physically attractive enough to make the man fall for her feminine wiles.  She will rarely have sex with these men, until they spend a certain number of dollars on her.  Nobody knows exactly what that number is, so the man keeps spending and spending, while the dinner whore keeps living it up.",dinner whore,Joe Shizzle,[],2075,404,"February 19, 2005"
"In an email, IM, IRC, SMS, or MUD exchange, temporarily unable to write, as through astonishment. Compare to speechless in spoken language.",textless,Lingrad,[],205,81,"July 14, 2005"
"To wear clothing, accessories, or physical features (i.e. pale skin) with confidence. ",own,DeltaMouse,"[u'#sport', u'#don', u'#rock', u'#self-conscious', u'#carry']",82,136,"December 31, 2005"
"The natural effect of the slow growth and spread of a clerical worker's physical frame, across the span of years of combining vending machine snack food with an exercise regimen that consists of little more than typing, until said physical frame is confined by the spatial limitations of the worker's desk chair.  Commonly applies to programmers, secretaries, and middle management.  In extreme cases, can be accompanied by a non-insignificant amount of physical exertion to free the compressed rear end from the chair.",Chair Ass,teh Steve,"[u'#chairass', u'#chair-ass', u'#secretary spread', u'#slacker', u'#tank ass']",346,118,"December 13, 2005"
To become extremely angry and vow consequences upon those who have caused you nuisance. ,Get Buck,LuchaDor04,[],155,347,"October 28, 2003"
You've been had; you've been tricked.,you got got,Humpty,[],266,155,"November 09, 2003"
"When a gossip columnist doesn't have enough evidence to support a claim about a celebrity, where naming said celebrity  would result in a lawsuit, giving no names but mild clues to the celebrity's identity in the latest gossip.",blind item,Kevyn,"[u'#gossip', u'#perez hilton', u'#ted casablanca', u'#tabloids', u'#gossip columnists']",237,99,"January 03, 2006"
"A way of determining who has to do a task, such as close a door or turn off a light after everyone is seated.  To call 'nose goes', you simply place your index finger on your nose, and say ""nose goes"".  The last person to call 'nose goes' has to do the task.",nose goes,Hannah M.,"[u'#fives', u'#dibs', u'#save', u'#reserve', u'#seatback']",923,1559,"January 03, 2006"
"feeling dumb or stupid after something happens. see also crunchy.",salty,International Bad Boy,[],61,147,"October 18, 2004"
"A tool used among friends to retain possession of a certain seat. As the name suggest, fives only works for five minutes. After standing up from his chair, the person announces ""fives"", and then can freely do what he needed to, and when he returns no one is allowed to take his seat during his absence. Powerful foe of, ""you move your feet, you loose your seat.""",fives,The Legendary Ironwood,[],1048,134,"March 27, 2005"
The act of shopping as an outlet for frustration and a reliever of stress.,Retail Therapy,Princess Juju Bunnie,[],1765,370,"February 19, 2004"
n. The ability to stay with a project and see it through to completion.,sticktoitiveness,G.W.,"[u'#synonyms: determination', u'#resolution', u'#will', u'#obstinancy', u'#drive']",244,77,"November 20, 2005"
Being so wasted that you have no recollection of a long period of time.,time traveling,Getz,[],354,196,"December 23, 2003"
"Similar to owned and pwned. To prevail heavily over an opponent in some form of competetive sense, such as a verbal argument or physical confrontation; mostly used in a one word sentence fragment.",sonned,nxm,[],355,196,"December 16, 2003"
"When something is just too ridiculous, it's ridic. Also see ridonkulous and ricockulous.",ridic,NaTasha**,"[u'#ridiculous', u'#insane', u'#like whoa', u'#crazy', u'#outrageous']",63,182,"December 19, 2005"
"Something that spoils or ruins an otherwise enjoyable event, esp. when in relation to ruining a drunken or drug-induced high.",buzzkill,Bart Wilkins,[],1833,398,"March 25, 2003"
"As a verb, it is used to describe a future action in which one exceeds the normal outcome.  For example: If you are about to  eat more food than average, you might say ""I am going to get big in the kitchen.""  Can be used in a variety of ways: in reference to eating, fighting, taking a test, anything. ",get big,bro-zeph,"[u'#kill', u'#pwn', u'#brutal', u'#eat', u'#slam']",138,97,"November 18, 2005"
"Someone who yearns for the the way things were ""Back In The Good Old Days"" and automatically assumes that way on which they imprinted was the-way-it-should-be. Bitgods are not always incorrect in that belief -- but they are autonomic about it and haven't thought it through. The word is the acronym for ""Back In The Good Old Days"".",Bitgod,jeff angus,"[u'#nostalgia', u'#criticism', u'#mourning', u'#illusions', u'#autonomic behavior']",74,51,"October 30, 2005"
The aftermath of the Christmas celebrations.,Christmess,Eldarion,"[u'#christmas', u'#xmas', u'#happy holidays', u'#santa', u'#christmas dinner']",210,66,"December 24, 2005"
"Santa's cry, or three prostitutes.",ho ho ho,Tom Thirwall,[],3253,201,"August 30, 2003"
a shopper at a supermarket/ store that checks out at the express line when they clearly have more items than the maximum. this makes everyone behind them wait.,expresshole,Anonymus R,"[u'#asshole', u'#ungrateful', u'#annoying', u'#stupid', u'#ignorant']",199,55,"December 04, 2005"
A tool or technique that makes some aspect of one's life easier or more efficient.,lifehack,JRob,"[u'#life hack', u'#lifehacker', u'#lifehacking', u'#slacker', u'#hack']",305,148,"December 06, 2005"
"in a restaurant, to go or ala carte",with legs,bw,[],48,105,"December 04, 2004"
No Strings Attached,NSA,Anonymous,[],3482,1026,"July 12, 2003"
Eavesdropping on a conversation that you have no business hearing.,earjacking,chaniqua,[],1254,204,"June 28, 2005"
"When an elder member of the human race doesn't feel the need to wait in line. (usually a buffet of some type)  Either because their time is running out, or they have given up on any social grace.",eldercut,Daren Strange,"[u'#elder cut', u'#old person cut', u'#granny cut', u'#grampy cut', u'#prune cut']",213,49,"December 05, 2005"
Drinking alcohol so as to have some excuse at a later date for the actions you might get into.,safety buzz,conradical dogger,"[u'#safety buzz', u'#mistake', u'#drinking', u'#excuse', u'#trouble']",778,88,"December 06, 2005"
"As an art movement, lifestyle, or literature and film genre, kitsch is pleasingly distasteful. It's melodramatic, overdone, gaudy and tacky or sentimental and folksy. It's so bad that it's cool. Your cat might attack it, but it's hot.And, no, Martha Stewart and Jerry Springer are NOT bad enough to be kitsch. At all. Paris and Nicole though...",kitsch,Avant-Garde Hero,[],548,147,"August 15, 2004"
"the morning after hippies or member of the 60's counter culture have made tie dyed t shirts, candles, or prayer flags",hippie christmas,dp9,[],988,1643,"May 08, 2004"
"(n) A nightmare that is derived directly from your place of employment, including your job, co-workers, duties and/or responsibilities while on the job. ",workmare,Pat H,"[u'#workmares', u'#work-mare', u'#workmair', u'#nightmare', u'#night terror']",186,41,"November 02, 2005"
